"id","name","country","fauvorite_album","year_of_release"
1,"Iron Maiden","England","Somewhere in time",1986
2,"AC/DC","Australia","Back in Black",1980
3,"Manowar ","USA","Louder than hell",1996
4,"Barón Rojo]","Spain","En un lugar de la marcha",1985
5,"Hermética","Argentina","En concierto I and II",1995
6,"Sanctuary","USA","Refuge Denied",1988
7,"Black Sabbath","England","Black Sabbath",1970
8,"Judas Priest","England","Painkiller",1990
9,"Iron Maiden","England","The Number of the beast",1983
10,"Megadeth","USA","Rust in Peace",1988
11,"Metallica","USA","Master of Puppets",1986
12,"Pantera","USA","Vulgar display of power",1992
13,"Dio","USA","Holy Diver",1983
14,"Mercyful Fate","Denmark","Melissa",1983
15,"King Diamond","Denmark","Abigail",1987
16,"Death","USA","Individual thought patterns",1993
17,"Carcass","England","Surgical steel",2013
18,"Rainbow","England","Rising",1976
19,"Bathory","Sweden","Blood, fire, death",1988
20,"Venom","England","Black Metal",1982
